id_topico,token,relevancia
0,rinde,4.2304681031460065
0,homenaje,4.1432105658537175
0,presidente rinde,4.057882764299368
0,rinde homenaje,4.051595400752145
0,luctuoso,2.8576786774510863
0,aniversario,2.8264220886115274
0,aniversario luctuoso,2.6287078840914417
0,emiliano,2.1444326276809864
0,emiliano zapata,2.1444326276809864
0,zapata,2.1121524008390145
0,madero,1.3135932002467907
0,francisco madero,1.263163414180119
0,presidente,1.2558656246350623
0,cuarta,1.2418053905063946
0,homenaje víctimas,1.1614649543495923
0,francisco,1.157463315602456
0,benito juárez,1.117741858776964
0,benito,1.117741858776964
0,homenaje francisco,1.0788824988555257
0,juárez,1.013579642049075
0,transformación,0.9546380752564073
0,presidente envía,0.9478632380763645
0,año emiliano,0.9145419071408555
0,2019 año,0.9145419071408555
0,envía,0.9097802412317718
0,homenaje emiliano,0.8498484060702632
0,cuarta transformación,0.8234115318666063
0,consolidar guardia,0.8036641284851447
0,víctimas,0.7839268726362133
0,año,0.777678163867845
0,envía condolencias,0.7509016129796402
0,condolencias,0.7359154906400442
0,2019,0.7071382506892533
0,transformación afirma,0.7067724647838401
0,radiodifusora,0.687820699544907
0,secretario,0.6705479827376138
0,alcaldía,0.6654165581611005
0,iztapalapa,0.6386676847529457
0,refinería salamanca,0.6047417779627141
0,salamanca,0.6047417779627141
0,presidente recuerda,0.5814171741723185
0,recuerda,0.5814171741723185
0,construye,0.5807294941817405
0,homenaje benito,0.5612541384938702
0,garantiza investigación,0.5425657722385118
0,transportes,0.5339628037663734
0,comunicaciones,0.5339628037663734
0,jorge,0.5339628037663734
0,comunicaciones transportes,0.5339628037663734
0,condolencias familiares,0.5303330459304042
0,110 aniversario,0.5230701930541163
0,110,0.5230701930541163
0,juárez garcía,0.5140622960520217
0,2023 méxico,0.5131801167039893
0,méxico autosuficiente,0.5131801167039893
0,autosuficiente,0.5131801167039893
0,presidente conmemora,0.5047730303288578
0,27 noviembre,0.49283546289750396
0,27,0.49283546289750396
0,latina,0.48619863875688635
0,américa latina,0.48619863875688635
0,cabo,0.48141811986003
0,alcaldía iztapalapa,0.47891128939866956
0,recorre alcaldía,0.47891128939866956
0,garcía,0.4732179129032886
0,postal,0.4710099676366048
0,conmemora,0.46984728126867265
0,rehabilitación refinería,0.43314395170616027
0,noviembre,0.4286867429416399
0,presidente nombra,0.42495498744723526
0,minera senado,0.4215794991253377
0,recorre,0.4139180600346913
0,presidente recorre,0.4139180600346913
0,minera,0.4033262962338396
0,ley minera,0.4033262962338396
0,metro proteger,0.4006079793833676
0,usuarios afirma,0.4006079793833676
0,proteger usuarios,0.4006079793833676
0,fotogalería 190,0.39943122177505186
0,61 aniversario,0.3988595208307108
0,aniversario radiodifusora,0.3988595208307108
0,celebra 61,0.3988595208307108
0,radiodifusora tabasqueña,0.3988595208307108
0,tabasqueña,0.3988595208307108
0,asegura cumplirán,0.3958568298676016
0,presidente asegura,0.3958568298676016
0,cumplirán compromisos,0.3958568298676016
0,compromisos gobierno,0.3958568298676016
0,cumplirán,0.3958568298676016
0,nombra,0.3952369399859581
0,valentín,0.3941188303326765
0,valentín campa,0.3941188303326765
0,campa salazar,0.3941188303326765
0,campa,0.3941188303326765
0,homenaje valentín,0.3941188303326765
0,apoyo trabajadores,0.38976349026781365
0,transformación construye,0.38976349026781365
0,construye apoyo,0.38976349026781365
0,salamanca guanajuato,0.3848123715372295
0,creación línea,0.3824643224914316
1,adultas mayores,1.7995651621136917
1,adultas,1.7995651621136917
1,personas adultas,1.7995651621136917
1,huracán agatha,1.3848374919788555
1,huracán,1.325059314302262
1,agatha,1.3180653564598905
1,personas,1.0637573907844182
1,afectados,0.9071895755404771
1,toluca ciudad,0.8706811099503051
1,tren toluca,0.8706811099503049
1,través,0.8704717272963423
1,cobro,0.8439442667557188
1,toluca,0.7732199196881354
1,mejora,0.7591845608100679
1,dos,0.7573651899494012
1,pensiones,0.7061559837013432
1,afectados huracán,0.6872037132189859
1,mayores,0.6707769501236616
1,mejora percepción,0.6188029044930553
1,percepción social,0.6188029044930553
1,través programas,0.6048761097187827
1,rápida,0.6010226955162286
1,apoyo afectados,0.5949210253540718
1,percepción,0.5937526789692436
1,2023 anuncia,0.5900192387185694
1,cobro pensiones,0.5560015875131337
1,pensiones personas,0.5560015875131337
1,beneficiarias,0.5459457689891701
1,sucia,0.5343056939381381
1,guerra sucia,0.5343056939381381
1,paisanos,0.521671235163412
1,seguro,0.519111139569636
1,guerra,0.49145530071894816
1,héroes,0.46837725748739195
1,remesas,0.4290973485131574
1,bienestar beneficiará,0.40643679204175237
1,beneficiará damnificados,0.40643679204175237
1,profeco presenta,0.40571375769602813
1,cobro remesas,0.40571375769602813
1,comparativo cobro,0.40571375769602813
1,presenta comparativo,0.40571375769602813
1,seguridad sonora,0.40242388292059084
1,recursos fortalecer,0.40242388292059084
1,fortalecer seguridad,0.40242388292059084
1,sonora garantizados,0.40242388292059084
1,garantizados presidente,0.40242388292059084
1,instituciones resalta,0.3976340655341405
1,social instituciones,0.3976340655341405
1,acciones apoyo,0.39703837682866966
1,electoral establecerá,0.3927262642239116
1,establecerá,0.3927262642239116
1,establecerá auténtica,0.3927262642239116
1,méxico inaugurará,0.39018095714237827
1,pueblo guerrero,0.3897666928439207
1,guerrero través,0.3897666928439207
1,compromisos pueblo,0.3897666928439207
1,comparativo,0.38823051338328773
1,recuperación rápida,0.38257497744315844
1,rápida empleos,0.38257497744315844
1,empleos reportada,0.38257497744315844
1,reportada,0.38257497744315844
1,reportada imss,0.38257497744315844
