id_documento,token,frecuencia
0,presidente,0.06462072891407827
0,reúne,0.25532200932010257
0,palacio,0.24290449653785492
0,nacional,0.1810563442896232
0,gobernador,0.33183012655475874
0,puebla,0.2904404952069832
0,presidente reúne,0.25690053170552496
0,reúne palacio,0.38369301615782075
0,palacio nacional,0.24352294303827163
0,nacional gobernador,0.44178386904460787
0,gobernador puebla,0.42034426365443717
1,obras,0.1817794304793921
1,complementarias,0.26825115336408384
1,tramo,0.20363760244853527
1,tren,0.15275528245371917
1,maya,0.1558131735563171
1,superan,0.28667229638971037
1,60,0.24705467903123374
1,ciento,0.19912403059422107
1,avance,0.20363760244853527
1,obras complementarias,0.26825115336408384
1,complementarias tramo,0.28667229638971037
1,tramo tren,0.22010899986689328
1,tren maya,0.15645714619378437
1,maya superan,0.301293980191115
1,superan 60,0.301293980191115
1,60 ciento,0.28667229638971037
1,ciento avance,0.301293980191115
2,fonatur,0.23249427497532868
2,semarnat,0.23249427497532868
2,rinden,0.2611326162086996
2,informe,0.15870662206750374
2,avances,0.14046688094752557
2,protección,0.1744763408965053
2,zonas,0.18764121807503217
2,arqueológicas,0.2078513203446623
2,áreas,0.22197795478053134
2,naturales,0.2178044785526025
2,fonatur semarnat,0.2611326162086996
2,semarnat rinden,0.2611326162086996
2,rinden informe,0.2611326162086996
2,informe avances,0.2611326162086996
2,avances protección,0.2611326162086996
2,protección zonas,0.2611326162086996
2,zonas arqueológicas,0.2108302061472801
2,arqueológicas áreas,0.2611326162086996
2,áreas naturales,0.22679587950320051
3,en,0.153535744056129
3,ruta,0.19706901375723726
3,tren,0.1330203749770591
3,maya,0.13568320806913123
3,estudiantes,0.19516524202874913
3,niveles,0.24963625315443524
3,escolares,0.24963625315443524
3,acceden,0.2278696183038811
3,becas,0.19337031829886253
3,secretaría,0.18182279817763503
3,bienestar,0.10856393507875767
3,en ruta,0.26236891830889963
3,ruta tren,0.21513695314941667
3,tren maya,0.13624398397379964
3,maya estudiantes,0.26236891830889963
3,estudiantes niveles,0.26236891830889963
3,niveles escolares,0.26236891830889963
3,escolares acceden,0.26236891830889963
3,acceden becas,0.26236891830889963
3,becas secretaría,0.26236891830889963
3,secretaría bienestar,0.24060228345834553
4,caminos,0.2173297460258062
4,pavimentados,0.29001844663675597
4,comunicarán,0.30481080040341524
4,todas,0.24609458909418513
4,cabeceras,0.24993839708032742
4,municipales,0.24609458909418513
4,oaxaca,0.17724969646937763
4,presidente,0.0445853673778285
4,caminos pavimentados,0.29001844663675597
4,pavimentados comunicarán,0.30481080040341524
4,comunicarán todas,0.30481080040341524
4,todas cabeceras,0.279523104613646
4,cabeceras municipales,0.24993839708032742
4,municipales oaxaca,0.279523104613646
4,oaxaca presidente,0.2647307508469867
5,carretera,0.2514359761077317
5,oaxaca,0.1906042720525683
5,puerto,0.23945550588336298
5,escondido,0.29182911953367063
5,inaugurará,0.26876957863627104
5,julio,0.2574834829977196
5,anuncia,0.13266882519690795
5,presidente,0.04794457571731584
5,carretera oaxaca,0.30058329541885825
5,oaxaca puerto,0.30058329541885825
5,puerto escondido,0.29182911953367063
5,escondido inaugurará,0.3277762494487032
5,inaugurará julio,0.3118693910574097
5,julio anuncia,0.3118693910574097
5,anuncia presidente,0.17800304299195335
6,presidente,0.04031107128116531
6,reafirma,0.15784844764884343
6,compromiso,0.16127217936344082
6,heredar,0.27558929363989837
6,sistema,0.17677522405632415
6,salud,0.1312551811972698
6,calidad,0.24536549262219873
6,méxico,0.09790644368326108
6,llama,0.14081358246250517
6,jubilados,0.2527258707846069
6,participar,0.19963864691161567
6,presidente reafirma,0.17761033060504627
6,reafirma compromiso,0.20912782475843064
6,compromiso heredar,0.27558929363989837
6,heredar sistema,0.27558929363989837
6,sistema salud,0.20499932515039213
6,salud calidad,0.2527258707846069
6,calidad méxico,0.27558929363989837
6,méxico llama,0.26221504863142187
6,llama jubilados,0.27558929363989837
6,jubilados participar,0.27558929363989837
7,presidente,0.057428751027264274
7,supervisa,0.21926885667912674
7,autopista,0.32193633970631924
7,oaxaca,0.2283087319195221
7,istmo,0.304656340589054
7,tehuantepec,0.29793179390240415
7,presidente supervisa,0.22621986965214072
7,supervisa autopista,0.3926154385686133
7,autopista oaxaca,0.3926154385686133
7,oaxaca istmo,0.3926154385686133
7,istmo tehuantepec,0.31250648991685104
8,plan,0.13719296410404755
8,salud,0.12530395011260861
8,imss,0.15930996500472772
8,bienestar,0.10886388772421293
8,opera,0.2630938206540007
8,20,0.21573135771098254
8,estados,0.1435762237151157
8,trabaja,0.20181831879311865
8,alcanzar,0.24126704649750355
8,cobertura,0.21573135771098254
8,nacional,0.10782377698809402
8,presidente,0.03848333009581807
8,plan salud,0.17999154463662148
8,salud imss,0.20181831879311865
8,imss bienestar,0.16575881384766178
8,bienestar opera,0.2630938206540007
8,opera 20,0.2630938206540007
8,20 estados,0.2630938206540007
8,estados trabaja,0.2630938206540007
8,trabaja alcanzar,0.2630938206540007
8,alcanzar cobertura,0.2630938206540007
8,cobertura nacional,0.2630938206540007
8,nacional presidente,0.21944027234100635
9,antes,0.2618546759436578
9,terminar,0.20569902216714422
9,administración,0.20319039829399327
9,sistema,0.16796522970380995
9,salud,0.12471378145497485
9,calidad,0.23313714662041576
9,gratuito,0.24914696677821477
9,todos,0.2274229944726795
9,afirma,0.0991890464206076
9,presidente,0.038302077587469244
9,zacatecas,0.20569902216714422
9,antes terminar,0.2618546759436578
9,terminar administración,0.2618546759436578
9,administración sistema,0.2618546759436578
9,sistema salud,0.19478271868596622
