id_documento,titulo,fecha
66,Ideales del presidente Juárez están vigentes en relación México-Estados Unidos, asegura presidente,23.03.2023
67,Palabras del presidente Andrés Manuel López Obrador en el 217 Aniversario del Natalicio de Benito Juárez, desde Guelatao, Oaxaca,23.03.2023
68,Atención médica está garantizada en comunidades cercanas al Corredor Interoceánico del Istmo de Tehuantepec,23.03.2023
69,Estrategia de atención al pueblo en Oaxaca reduce delitos de impacto,23.03.2023
70,Corredor Interoceánico del Istmo de Tehuantepec lleva desarrollo económico y oportunidades al sureste,21.03.2023
71,Mejoramiento de zonas arqueológicas y protección de áreas naturales son fundamentales en obra del Tren Maya,21.03.2023
72,Es tiempo del sureste del país, afirma presidente; en tramo 1 del Tren Maya se construyen más de 500 obras complementarias,21.03.2023
73,Chiapas mantiene tendencia a la baja en incidencia delictiva,21.03.2023
74,Presidente sostiene reunión con legisladores e integrantes del gobierno de Estados Unidos,21.03.2023
75,Política de atención al pueblo genera resultados positivos en México, afirma presidente; apoyo popular consolidará primera etapa de transformación,21.03.2023
76,Cuarta Transformación ha garantizado soberanía, afirma presidente en 85 Aniversario de la Expropiación Petrolera,21.03.2023
77,Jamás permitiremos que violen nuestra soberanía y pisoteen la dignidad de nuestra patria: presidente,21.03.2023
78,Discurso del presidente Andrés Manuel López Obrador en los 85 Años de la Expropiación Petrolera,21.03.2023
79,4T recupera soberanía energética con trabajadores de Pemex, afirma presidente,21.03.2023
80,En julio, refinería Dos Bocas iniciará producción de gasolinas, anuncia presidente,17.03.2023
81,Lázaro Cárdenas Batel deja Coordinación de Asesores de Presidencia para integrarse a la CELAC, confirma presidente,17.03.2023
82,Tabasco reduce incidencia delictiva; generación de empleos y Programas para el Bienestar impulsan desarrollo en el estado: presidente,17.03.2023
83,Presidente enumera en Convención Bancaria las diez fortalezas de México en materia económica,17.03.2023
84,Refinería Madero producirá a finales de 2023 más de 80 mil barriles diarios de combustibles,17.03.2023
85,Presidente se compromete a fortalecer atención a personas con discapacidad,17.03.2023
86,Con rescate de la industria petrolera, México avanza a la autosuficiencia energética: presidente,17.03.2023
87,Presidente propone alternativa para prohibir importación de fentanilo de uso médico,17.03.2023
88,Más de 4 mil especialistas se integran a IMSS Bienestar; gobierno convoca a jubilados a fortalecer sistema de salud,17.03.2023
89,Gobierno de México incluye medicina tradicional en Plan de Salud IMSS Bienestar,17.03.2023
90,COVID-19 en México continúa tendencia de reducción: Secretaría de Salud,14.03.2023
91,México continuará cooperación con Estados Unidos, pero sin subordinación: presidente,14.03.2023
92,México es más seguro que Estados Unidos: presidente; atención a las causas de la violencia promueve la paz, afirma,14.03.2023
93,Presidente celebra triunfo de Selección Mexicana de Béisbol contra Estados Unidos en el Clásico Mundial,14.03.2023
